Category,Item,Portion,Serv Size (oz.),Calories (kcal)
MARKET TABLE,Apple Manchego Salad,Spoon,2.0,35
MARKET TABLE,Arugula,Tong,1.0,5
MARKET TABLE,Asparagus,2 Each,1.5,6
MARKET TABLE,Basil Dressing,Spoon,0.9,80
MARKET TABLE,Black Bean Noodle Pasta Salad,Spoon,2.0,80
MARKET TABLE,Brazilian Potato Salad,Spoon,2.0,100
MARKET TABLE,Brazilian Vinaigrette,Spoon,2.0,25
MARKET TABLE,Broccoli,2 Florets,2.5,25
MARKET TABLE,Brown Sugar & Black Pepper Bacon,Slice,0.5,75
MARKET TABLE,Butter,Each,0.2,35
MARKET TABLE,Caesar Dressing,Spoon,0.9,110
MARKET TABLE,Caesar Salad,Tong,2.0,50
MARKET TABLE,Calabrese Salami,4 Slices,0.8,90
MARKET TABLE,Cantaloupe,1/2 Cup,3.2,30
MARKET TABLE,Cherry Tomatoes,Each,1.0,5
MARKET TABLE,Chimichurri Fried Rice,Spoon,2.0,100
MARKET TABLE,Citrus Chicken Salad,Tong,2.0,130
MARKET TABLE,Cornichons,Each,0.2,3
MARKET TABLE,Corn Chowder Soup,Bowl,6.5,270
MARKET TABLE,Cucumbers,1/4 Cup,0.9,0
MARKET TABLE,Cucumber and Onion Salad,Spoon,1.9,10
MARKET TABLE,Dedo de Moca,Ounce,1.0,5
MARKET TABLE,Edamame,1/4 Cup,1.4,45
MARKET TABLE,Fig Preserve,Tbsp,0.6,50
MARKET TABLE,Fresh Mozzarella Cheese,Each,1.0,80
MARKET TABLE,Gigante Bean Salad,Spoon,3.0,120
MARKET TABLE,Grain Mustard,Tbsp,0.5,25
MARKET TABLE,Grana Padano,Ounce,1.0,122
MARKET TABLE,Grape Tomatoes,5 Each,3.0,15
MARKET TABLE,"Hummus, Seasonal",Spoon,2.0,110
MARKET TABLE,"Hummus, Gaucho Style",Spoon,2.0,148
MARKET TABLE,Imported Hearts of Palm,Each,1.4,0
MARKET TABLE,Imported Salami,2 Slices,0.7,50
MARKET TABLE,Italian Bread,Slice,1.0,80
MARKET TABLE,Italian Dressing,Spoon,0.9,70
MARKET TABLE,Jalapeños,Spoon,0.7,25
MARKET TABLE,Kale Mango Salad,Tong,2.0,25
MARKET TABLE,Lime Vinaigrette Dressing,Spoon,2.0,290
MARKET TABLE,Malagueta Peppers,Ounce,0.25,15
MARKET TABLE,Manchego Cheese,Slice,0.7,80
MARKET TABLE,Marinated Mushrooms,Spoon,2.0,60
MARKET TABLE,Mediterranean Eggplant,Tong,2.0,45
MARKET TABLE,Mixed Greens,Tong,0.8,0
MARKET TABLE,Mixed Olive Mix w/ Citrus,Spoon,1.0,160
MARKET TABLE,Mortadella,Each,2.0,180
MARKET TABLE,Mozzarella Caprese Salad,Spoon,2.1,85
MARKET TABLE,Pão de Queijo Croutons,1/4 Cup,1.0,120
MARKET TABLE,Papaya,1/4 Cup,1.3,15
MARKET TABLE,Parma Leg,Ounce,1.0,60
MARKET TABLE,Parmesan Cheese,Tbsp,0.2,25
MARKET TABLE,Pear & Arugula Salad,Spoon,2.0,70
MARKET TABLE,Peppadew Peppers,Each,0.7,20
MARKET TABLE,Pickled Red Onions,Tong,2.0,25
MARKET TABLE,Pineapple,1/4 Cup,1.5,20
MARKET TABLE,Pomegranate,1/4 Cup,1.6,35
MARKET TABLE,Power Greens Salad,Tong,2.0,20
MARKET TABLE,Prosciutto,Slice,0.6,35
MARKET TABLE,Pumpkin Seeds,1 tsp,0.1,15
MARKET TABLE,Quinoa Tabouleh,Spoon,2.0,40
MARKET TABLE,Ranch Dressing,Spoon,0.9,130
MARKET TABLE,Roasted Apple & Butternut Squash,Spoon,2,35
MARKET TABLE,Roasted Artichokes,Tong,2.0,50
MARKET TABLE,Roasted Baby Peppers,Tong,2.0,100
MARKET TABLE,Roasted Beets and oranges,Spoon,1.4,15
MARKET TABLE,Roasted Cauliflower Salad,Spoon,2.0,70
